[(70, 166), (103, 164), (134, 140), (146, 111), (138, 91), (122, 103), (126, 79), (119, 105), (116, 116), (100, 100), (104, 79), (100, 111), (99, 116), (80, 100), (82, 81), (82, 111), (82, 119), (59, 102), (62, 87), (64, 109), (65, 117)]
[(90, 174), (118, 165), (145, 147), (145, 125), (123, 119), (129, 90), (137, 96), (130, 119), (124, 133), (108, 85), (114, 98), (110, 126), (107, 142), (88, 88), (95, 104), (95, 129), (95, 145), (69, 97), (75, 106), (79, 126), (82, 139)]
[(70, 160), (101, 146), (130, 118), (127, 88), (103, 81), (116, 83), (117, 65), (111, 84), (107, 102), (95, 80), (93, 64), (90, 95), (90, 115), (74, 81), (71, 68), (72, 98), (74, 118), (52, 85), (52, 71), (56, 92), (59, 108)]
[(66, 153), (99, 141), (129, 117), (134, 91), (116, 80), (107, 83), (116, 65), (115, 81), (110, 98), (90, 79), (101, 65), (96, 94), (90, 115), (71, 79), (82, 65), (79, 95), (74, 116), (48, 82), (62, 68), (65, 89), (63, 105)]  
[(54, 159), (85, 145), (110, 118), (104, 87), (81, 76), (108, 84), (106, 69), (92, 86), (82, 101), (86, 77), (78, 66), (70, 94), (69, 114), (65, 76), (55, 67), (54, 94), (56, 114), (44, 78), (37, 67), (39, 84), (43, 98)]
[(62, 185), (95, 172), (125, 147), (121, 118), (97, 113), (113, 109), (115, 92), (106, 114), (101, 131), (92, 105), (92, 89), (86, 119), (84, 138), (71, 105), (69, 90), (68, 119), (69, 139), (50, 107), (49, 90), (52, 110), (54, 125)]
[(77, 162), (107, 149), (138, 121), (134, 91), (108, 87), (123, 84), (127, 69), (120, 84), (114, 98), (102, 78), (101, 70), (98, 103), (98, 124), (81, 79), (78, 76), (80, 108), (82, 127), (58, 83), (59, 78), (64, 101), (68, 114)] 
[(74, 159), (104, 142), (128, 112), (117, 86), (90, 84), (115, 74), (114, 63), (106, 86), (101, 103), (92, 70), (86, 67), (85, 99), (88, 120), (71, 71), (63, 74), (68, 104), (73, 121), (49, 77), (47, 77), (52, 99), (58, 111)] 
[(73, 157), (105, 138), (129, 109), (121, 80), (95, 77), (117, 79), (119, 60), (111, 79), (106, 98), (95, 77), (93, 60), (90, 88), (90, 111), (74, 77), (70, 65), (72, 93), (75, 114), (52, 80), (52, 65), (57, 84), (60, 100)]
[(72, 149), (103, 134), (127, 105), (115, 80), (88, 80), (116, 62), (113, 56), (105, 82), (102, 98), (92, 57), (86, 57), (85, 90), (86, 108), (70, 59), (63, 64), (67, 93), (71, 108), (49, 64), (46, 66), (51, 86), (56, 97)]
[(78, 155), (111, 133), (138, 103), (130, 78), (103, 82), (114, 61), (117, 56), (114, 84), (112, 101), (90, 59), (94, 59), (95, 93), (97, 110), (68, 63), (71, 66), (77, 97), (82, 114), (47, 71), (52, 69), (61, 91), (67, 103)]  
[(74, 148), (104, 128), (128, 99), (130, 71), (112, 63), (95, 57), (110, 49), (110, 77), (106, 97), (76, 56), (94, 53), (95, 86), (92, 107), (57, 61), (75, 58), (79, 89), (78, 111), (37, 71), (55, 63), (62, 84), (63, 100)]
[(67, 150), (98, 127), (123, 94), (121, 63), (97, 62), (97, 65), (104, 46), (102, 66), (99, 86), (78, 64), (83, 49), (83, 77), (83, 102), (59, 67), (63, 53), (67, 81), (68, 105), (38, 73), (43, 56), (50, 74), (53, 91)]
[(64, 145), (94, 124), (117, 92), (109, 65), (86, 60), (95, 63), (100, 48), (93, 69), (86, 88), (74, 61), (76, 50), (74, 79), (73, 102), (55, 64), (55, 56), (57, 83), (59, 105), (34, 70), (36, 59), (42, 76), (46, 92)]
[(56, 155), (86, 134), (114, 98), (111, 67), (85, 68), (83, 63), (92, 49), (91, 75), (87, 97), (61, 63), (69, 53), (72, 87), (72, 112), (39, 68), (46, 59), (54, 91), (56, 114), (17, 76), (26, 63), (35, 85), (39, 102)]
[(52, 153), (83, 130), (104, 98), (93, 72), (68, 69), (85, 65), (81, 52), (72, 76), (70, 96), (62, 62), (56, 54), (54, 85), (57, 107), (41, 66), (34, 60), (38, 88), (44, 109), (20, 74), (15, 66), (22, 84), (30, 97)]
[(116, 150), (149, 135), (176, 110), (168, 85), (142, 83), (161, 76), (163, 62), (159, 84), (158, 93), (141, 72), (141, 61), (139, 86), (140, 91), (122, 72), (121, 63), (122, 88), (125, 94), (101, 76), (104, 69), (107, 86), (110, 92)]
[(83, 150), (115, 135), (141, 105), (132, 78), (106, 79), (125, 75), (131, 57), (123, 79), (118, 88), (105, 71), (105, 57), (101, 83), (101, 90), (85, 71), (82, 63), (83, 86), (86, 93), (65, 74), (64, 66), (67, 82), (70, 89)]
[(81, 155), (110, 140), (135, 108), (123, 83), (94, 87), (120, 79), (122, 61), (118, 84), (117, 92), (99, 75), (98, 61), (98, 89), (98, 92), (79, 76), (76, 65), (80, 91), (82, 94), (58, 80), (58, 69), (63, 86), (66, 90)]
[(75, 155), (105, 138), (129, 106), (117, 80), (90, 84), (115, 78), (118, 59), (112, 84), (112, 90), (95, 74), (95, 59), (92, 87), (93, 90), (76, 75), (73, 64), (75, 90), (77, 93), (55, 77), (55, 67), (59, 83), (61, 89)]
[(78, 138), (108, 121), (133, 91), (121, 65), (93, 67), (121, 62), (122, 43), (116, 68), (117, 78), (101, 59), (97, 44), (95, 74), (98, 78), (81, 59), (75, 49), (78, 75), (83, 79), (61, 62), (59, 52), (63, 69), (66, 74)]
[(79, 129), (109, 115), (133, 86), (119, 62), (91, 66), (121, 59), (120, 41), (115, 63), (115, 72), (101, 54), (97, 40), (95, 66), (99, 72), (81, 55), (75, 44), (78, 68), (82, 74), (62, 59), (60, 50), (63, 64), (65, 69)]
[(75, 131), (105, 115), (128, 85), (113, 60), (86, 62), (115, 56), (114, 38), (110, 61), (112, 69), (94, 53), (90, 38), (90, 66), (93, 70), (75, 54), (70, 43), (72, 68), (77, 72), (55, 57), (53, 46), (57, 61), (61, 67)]
[(78, 125), (105, 117), (130, 87), (117, 64), (90, 67), (117, 56), (116, 37), (112, 62), (112, 71), (96, 53), (94, 38), (92, 68), (94, 71), (76, 55), (71, 44), (74, 71), (77, 74), (56, 58), (53, 48), (57, 65), (60, 70)]
[(86, 161), (115, 147), (139, 117), (125, 92), (97, 95), (129, 85), (130, 68), (124, 92), (123, 100), (109, 80), (106, 67), (104, 93), (105, 99), (89, 80), (84, 71), (86, 96), (89, 102), (69, 83), (68, 74), (71, 90), (74, 96)]  
[(83, 164), (112, 148), (136, 113), (125, 84), (98, 89), (118, 86), (122, 65), (119, 91), (118, 99), (99, 84), (101, 68), (100, 98), (98, 100), (80, 87), (79, 72), (83, 99), (83, 103), (60, 90), (60, 76), (66, 93), (69, 99)]  
[(83, 164), (111, 146), (134, 110), (121, 84), (95, 91), (114, 83), (118, 65), (116, 91), (113, 98), (93, 81), (94, 67), (96, 97), (93, 98), (73, 85), (72, 75), (77, 102), (77, 102), (53, 89), (55, 82), (61, 99), (62, 101)]
[(84, 159), (110, 143), (134, 109), (116, 88), (88, 97), (113, 73), (115, 60), (115, 89), (113, 94), (91, 71), (91, 64), (95, 94), (94, 94), (70, 76), (69, 73), (77, 99), (78, 99), (50, 84), (49, 81), (58, 98), (60, 99)]
[(83, 158), (110, 144), (134, 111), (116, 90), (89, 97), (115, 79), (114, 60), (114, 87), (115, 94), (93, 77), (90, 63), (94, 93), (96, 95), (73, 81), (69, 71), (75, 98), (79, 100), (52, 86), (49, 78), (56, 95), (60, 99)]
[(84, 161), (110, 145), (135, 112), (119, 90), (90, 98), (116, 77), (117, 62), (117, 90), (116, 96), (95, 74), (93, 65), (96, 95), (97, 95), (75, 77), (70, 72), (77, 98), (80, 98), (54, 82), (52, 78), (59, 95), (62, 97)]
